base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,model_name,difficulty,coherence_score,coherence_reason,fluency_score,fluency_reason,average_entailment_score,slot_entailment_scores
"{'Abbreviation': 'Exercising', 'Full label': '""Being physically active, exercising regularly""'}",Conflict Resolution,"I selected 'Conflict Resolution' as the social goal category because the shared goal of regular exercise often involves overcoming differing levels of motivation and scheduling obstacles. By framing the scenario as a conflict regarding adherence to the routine, we can explore attribution theory: one agent attributes their hesitation to situational factors (external constraints), while the other attributes it to dispositional traits (internal lack of discipline), creating a dynamic interplay of blame and justification.",To deflect personal blame for potential failure by loudly emphasizing external situational stressors and constraints.,To attribute the lack of progress to the other agent's internal lack of willpower and assert moral superiority.,"""Being physically active, exercising regularly""",Defensive Negotiator,Stern Taskmaster,"{'scenario_context': ""[Agent 1] and [Agent 2], who serve as mutual accountability partners for a rigorous marathon training program, are facing a critical juncture in their shared fitness journey. [Agent 1] has just arrived at their meeting spot significantly late for a pre-paid, high-stakes coaching session, resulting in the session's cancellation. [Agent 1] is disheveled and clutching a ringing work phone, visibly prepared to list the unexpected office crisis and heavy traffic as the reasons for the failure. [Agent 2], having waited in the rain for forty-five minutes, confronts [Agent 1] with a demeanor of cold disappointment, interpreting this not as an isolated incident but as further evidence of [Agent 1]'s inherent inability to prioritize and commit to the agreed-upon regimen."", 'explanation': ""This scenario establishes a 'Hard' difficulty level by introducing high stakes (financial loss of the pre-paid session and wasted time) and high interpersonal tension. It perfectly aligns with the prompt by setting up the physical environment and immediate context to support Agent 1's defensive situational attributions (external stressors like work/traffic) against Agent 2's stern dispositional attributions (internal flaws like lack of willpower).""}",gemini,Hard,1.0,"The scenario clearly instantiates the shared goal of being physically active and exercising regularly, aligning with step 1. Both agent roles and goals match the input descriptions, fulfilling step 2. The scenario flows logically and consistently, with no contradictions, meeting step 3.",1.0,"The response demonstrates strong alignment with the evaluation steps. Grammar and sentence structure are correct, punctuation and formatting are properly used, and the text flows naturally like native-written English. Vocabulary is appropriate and varied, avoiding repetition. The scenario is clearly presented and easy to understand from start to end.",0.771284744143486,"{'shared_goal_score': 0.9698853492736816, 'social_goal_category_score': 0.6111104488372803, 'first_agent_goal_score': 0.9604120254516602, 'second_agent_goal_score': 0.9392950534820557, 'first_agent_role_score': 0.655169665813446, 'second_agent_role_score': 0.49183592200279236}"
"{'Abbreviation': 'Looking young', 'Full label': '""Looking young""'}",Information Acquisition,"To pursue the shared aim of looking young, the interaction centers on exchanging know-how. One agent seeks tailored guidance while the other provides it, making Information Acquisition the best fit. Their roles and goals structure a dialogue where questions, clarifications, and reasoned suggestions drive progress toward the shared goal.","Elicit tailored, practical strategies for maintaining a youthful appearance by asking clarifying questions and briefly sharing relevant context to guide the advice.","Provide credible, empathetic guidance on appearing youthful by explaining rationales and offering stepwise suggestions while checking for understanding.","""Looking young""",Curious seeker,Wellness advisor,"{'scenario_context': 'At a crowded community wellness fair, [Agent 1], a time-pressed attendee with a next-day on-camera interview, sits for a 15-minute ""Ask a Wellness Advisor"" slot with [Agent 2], a credentialed advisor bound by evidence-based guidelines and liability policies. The shared aim is to appear youthful. [Agent 1] wants highly tailored, immediately actionable strategies and plans to steer the consult with clarifying questions, offering only minimal, selectively relevant personal context to save time and avoid judgment. [Agent 2] intends to provide empathetic, stepwise guidance (quick fixes, short-term tweaks, and longer-term habits) while verifying background, constraints, and understanding. Constraints heighten tension: a visible queue, a volunteer announcing time checks, harsh fluorescent lighting that distorts appearance, and [Agent 1]\'s limited budget and inability to change sleep or diet before tomorrow. Social dynamics complicate information exchange: [Agent 1] is wary of generic tips and perceived upselling due to past experiences and attributes age-related comments as criticism; [Agent 2] is cautious about making promises or commenting on appearance without context. Both must negotiate what information to disclose and how to interpret one another’s brevity, tone, and nonverbal cues in order to reach a concrete plan under pressure.', 'explanation': ""Hard difficulty arises from conflicting time horizons, evaluation anxiety, and policy constraints. Dispositional factors: [Agent 1] is skeptical, sensitive to status threats, and highly goal-directed; [Agent 2] is conscientious, methodical, and risk-averse. Situational factors: time pressure, public setting, liability rules, budget limits, and misleading lighting. Likely attributional traps: [Agent 1] may see [Agent 2]'s cautious probing as evasiveness or sales intent (dispositional) rather than policy-driven; [Agent 2] may read [Agent 1]'s brusqueness as resistance or vanity rather than stress and time scarcity. Success hinges on whether both reattribute the other’s behavior to situational constraints and converge on a brief, tailored plan with explicit limits.""}",openai,Hard,1.0,"The scenario clearly instantiates the shared goal 'Looking young' and aligns well with the specified agent roles and goals. It flows logically, incorporating constraints and social dynamics that heighten tension without introducing contradictions.",1.0,"The response demonstrates strong alignment with the evaluation steps. Grammar and sentence structure are correct, punctuation and formatting are properly used, and the text reads smoothly and naturally. Vocabulary is appropriate and varied, avoiding repetition. The scenario is clearly described from start to end, making it easy to understand.",0.7707781195640564,"{'shared_goal_score': 0.9936489462852478, 'social_goal_category_score': 0.4528542160987854, 'first_agent_goal_score': 0.9998099207878113, 'second_agent_goal_score': 0.9999510645866394, 'first_agent_role_score': 0.255415678024292, 'second_agent_role_score': 0.9229888916015625}"
"{'Abbreviation': 'Different experiences', 'Full label': '""Having new and different experiences""'}",Relationship Building,The shared goal of 'Having new and different experiences' invites a dynamic where one agent introduces novelty while the other processes it. The category 'Relationship Building' was selected because navigating the unknown together prioritizes the interpersonal connection and trust required to leave one's comfort zone.,Foster high-energy rapport by framing the experience as an exclusive bonding opportunity.,Solicit emotional validation to ensure the proposed experience feels safe and secure.,"""Having new and different experiences""",Spontaneous Adventure Initiator,Hesitant Pragmatist,"{'scenario_context': ""[Agent 1] and [Agent 2] are standing at a transit crossroads in a foreign city during a critical trip intended to deepen their connection through shared discovery. [Agent 1] has just impulsively suggested abandoning their safe, pre-paid itinerary to pursue a vague, unlisted 'underground' event in a notoriously gritty district, framing this risky deviation as an exclusive opportunity to forge a stronger bond. [Agent 2], feeling disoriented and vulnerable in the unfamiliar environment, views the sudden change as a threat to personal safety and requires intense emotional validation to ensure that their well-being matters more than the adrenaline rush."", 'explanation': ""This scenario is classified as 'Hard' because the environmental stress of a foreign city exacerbates the conflict between Agent 1's desire for high-risk spontaneity and Agent 2's need for pragmatic security. The shared goal of 'new experiences' is threatened by the vast chasm between their preferred methods (excitement vs. safety), creating high interpersonal tension.""}",gemini,Hard,1.0,"The scenario clearly instantiates the 'shared_goal' of 'Having new and different experiences' and aligns with the 'social_goal_category' of 'Relationship Building'. The roles and goals of both agents match the input descriptions: Agent 1 acts as the 'Spontaneous Adventure Initiator' aiming to 'Foster high-energy rapport', while Agent 2 embodies the 'Hesitant Pragmatist' seeking 'emotional validation'. The scenario flows logically, with no contradictions, as it depicts a realistic tension between spontaneity and safety in a foreign setting.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text flows naturally like native-written English, with appropriate vocabulary and no repetition. The scenario is clear and easy to understand from start to end, effectively conveying the tension between the agents.",0.761996171126763,"{'shared_goal_score': 0.832709789276123, 'social_goal_category_score': 0.9081999063491821, 'first_agent_goal_score': 0.9987691640853882, 'second_agent_goal_score': 0.9992451667785645, 'first_agent_role_score': 0.7612795233726501, 'second_agent_role_score': 0.0717734768986702}"
"{'Abbreviation': 'Career knowledge', 'Full label': '""Keeping up to date with career-related knowledge""'}",Information Acquisition,"Keeping up to date with career-related knowledge centers on gathering current, relevant information through dialogue. Information Acquisition best fits: one agent seeks clarity and validation of new knowledge, while the other proactively shares and contextualizes updates.","Elicit actionable clarity by asking probing how/why questions, respectfully challenging assumptions, and paraphrasing updates to surface ambiguities.","Demonstrate credible currency by volunteering concise, source-anchored updates and framing them with practical implications while acknowledging limits.","""Keeping up to date with career-related knowledge""",Skeptical Learner,Industry Mentor,"{'scenario_context': '[Agent 1] and [Agent 2] meet for a 30-minute, recorded mentorship check-in hours before [Agent 1] must brief a VP on the practical implications of rapidly evolving data-privacy changes for the team’s analytics roadmap. The shared task is to decide what counts as \x1cconfirmed guidance\x1d versus \x1cspeculative trends\x1d and to draft a one-page brief with actionable next steps and citations. [Agent 2], the Industry Mentor, brings recent updates from paywalled webinars, vendor advisories, and draft regulator notes—some under NDA, limiting what can be quoted directly. A prior recommendation from [Agent 2] was later walked back, making [Agent 1] wary of overconfident summaries. Meanwhile, [Agent 2] informally advises a vendor whose solution could benefit if the brief emphasizes \x1czero-party data\x1d, raising perceived bias. Leadership expects confident, source-anchored recommendations; being wrong affects [Agent 2]’s credibility and [Agent 1]’s candidacy to lead an initiative. [Agent 1] intends to press with how/why questions, paraphrasing to surface ambiguities. [Agent 2] aims to demonstrate currency with concise, practical updates while acknowledging limits. They must quickly converge on language that is precise yet noncommittal where evidence is mixed, under time pressure, status asymmetry, and constrained evidence sharing.', 'explanation': 'Hard difficulty arises from time pressure, reputational stakes, and ambiguous/conflicting information that cannot be fully disclosed, making the shared goal (accurate, current guidance) difficult. Dispositional factors: [Agent 1]’s skeptical style (probing, challenging) risks being perceived as confrontational; [Agent 2]’s mentor status and desire to project credibility risks defensiveness or overclaiming. Situational factors: recording, leadership expectations, prior error, and a perceived vendor conflict intensify face-threat and attribution biases. Each may misattribute the other’s behavior to disposition (e.g., \x1coverly aggressive\x1d or \x1cself-protective\x1d) rather than situational constraints (NDAs, mixed evidence). Success depends on negotiating what is \x1cconfirmed\x1d vs \x1cspeculative\x1d, balancing precision with actionable clarity, and managing the tension between challenge and credibility. '}",openai,Hard,0.8,"The scenario clearly instantiates the shared goal of 'Keeping up to date with career-related knowledge' and aligns with the 'Information Acquisition' category. Agent roles and goals match the input descriptions, with the Skeptical Learner probing for clarity and the Industry Mentor providing credible updates. The scenario flows logically, incorporating time pressure and status asymmetry, though minor ambiguity exists around the handling of speculative trends.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive, though some technical terms like 'zero-party data' may require context. The scenario is clear and easy to understand from start to end, with a well-defined context and objectives.",0.7605981628100077,"{'shared_goal_score': 0.9892048239707947, 'social_goal_category_score': 0.2623186409473419, 'first_agent_goal_score': 0.9982982873916626, 'second_agent_goal_score': 0.9995592832565308, 'first_agent_role_score': 0.4283973276615143, 'second_agent_role_score': 0.8858106136322021}"
"{'Abbreviation': 'Fashion', 'Full label': '""Keeping up with fashion""'}",Information Acquisition,"Keeping up with fashion hinges on accessing timely, relevant knowledge. Framing the interaction as Information Acquisition highlights how a curious, status-monitoring seeker and an expertise-asserting advisor co-construct understanding through questions, corrections, and tailored suggestions—patterns that reveal dispositional attributions (curiosity vs. authority) and situational cues (context, constraints).","Steer the talk toward budget-friendly, wearable trends by posing situational questions and paraphrasing advice to test how it fits a casual daily routine.","Project up-to-date expertise by confidently naming current trends, correcting misconceptions, and tailoring guidance to the cues the other reveals.","""Keeping up with fashion""",Trend Seeker,Fashion Advisor,"{'scenario_context': 'A 15-minute “Trend Tune-Up” consult places [Agent 1] (Trend Seeker) across from [Agent 2] (Fashion Advisor) at a launch event where a queue and visible timer create pressure. The event promotes full-price, limited-release pieces with bundle targets; clearance is excluded, sizes are patchy, and returns are restricted. [Agent 1] holds a gift card valid only on new arrivals and mentions biking to work, a casual office that discourages logos, and a strict laundry routine. Intending to keep the exchange anchored to budget-friendly, wearable solutions, [Agent 1] plans to ask concrete use-case questions and paraphrase advice to test how recommendations fit daily life. [Agent 2], being informally evaluated by a manager, is expected to show cutting-edge expertise by naming micro-trends, correcting misconceptions, and assembling a curated capsule from event items using cost-per-wear framing. Both want to keep up with fashion, but time pressure, policy constraints, and divergent definitions of “wearable” and “budget” create a narrow path for alignment.', 'explanation': 'This setup is hard because situational pressures (timer, evaluation, inventory limits, restrictive promotions) increase the likelihood of dispositional attributions and status tensions. [Agent 1] aims to steer the talk toward practical, low-cost versatility and will paraphrase to stress-test advice; [Agent 2] aims to project authority by confidently naming trends and correcting misconceptions while meeting event targets. Each may misattribute the other’s behavior: [Agent 2] could read [Agent 1]’s steering as trend-aversion rather than budget and context constraints, while [Agent 1] could interpret [Agent 2]’s confident corrections as salesy or dismissive instead of role-driven performance pressure. Impression management is salient (public setting, manager observation), making face-threat and defensiveness likely. The conversation will have to negotiate expertise vs autonomy, translate trend jargon into situational fit, and reconcile conflicting incentives, all under time and policy constraints.'}",openai,Hard,1.0,"The scenario clearly instantiates the 'shared_goal' of 'Keeping up with fashion' and aligns with the 'social_goal_category' of 'Information Acquisition'. Both agent roles ('Trend Seeker' and 'Fashion Advisor') and their respective goals are accurately reflected in the scenario, which flows logically without contradictions. The detailed context adds depth and realism to the interaction.",1.0,"The response demonstrates strong grammar and sentence structure, with no run-ons or fragments. Punctuation and formatting are used correctly, enhancing readability. The text flows naturally and reads like native-written English. Vocabulary is appropriate and varied, avoiding repetition. The scenario is clearly described from start to end, with all details logically connected.",0.7511623948812485,"{'shared_goal_score': 0.9968177676200867, 'social_goal_category_score': 0.11838307976722717, 'first_agent_goal_score': 0.9999392628669739, 'second_agent_goal_score': 0.9232256412506104, 'first_agent_role_score': 0.9800297021865845, 'second_agent_role_score': 0.4885789155960083}"
"{'Abbreviation': 'Being curious', 'Full label': '""Being curious, inspecting, learning""'}",Information Acquisition,"The shared goal 'Being curious, inspecting, learning' aligns most closely with the social goal category 'Information Acquisition', as it involves seeking knowledge and understanding. The first agent is driven by a desire to explore and uncover new information, while the second agent aims to validate and deepen their existing knowledge. Their roles as 'Explorer' and 'Synthesizer' reflect their distinct approaches to learning and curiosity.",To actively seek out and uncover novel information or perspectives during the interaction.,To critically evaluate and integrate new information with their existing knowledge framework.,"""Being curious, inspecting, learning""",Explorer,Synthesizer,"{'scenario_context': 'Agent 1 and Agent 2 are colleagues working on a high-stakes research project with tight deadlines. Both are tasked with compiling a comprehensive report on an emerging but poorly understood phenomenon—a shared goal requiring curiosity, inspection, and learning. Agent 1, the Explorer, is eager to pursue unconventional sources and speculative theories to uncover novel insights, believing that risk-taking is essential for breakthroughs. Agent 2, the Synthesizer, prioritizes methodological rigor and insists on critically evaluating every piece of information against established frameworks before inclusion, wary of unverified claims. Tensions arise as Agent 1 grows frustrated by perceived rigidity, while Agent 2 views Agent 1’s approach as reckless, jeopardizing the project’s credibility. Their individual goals—seeking novelty versus ensuring integration—clash, creating a high-pressure environment where collaboration is strained but necessary for success.', 'explanation': ""This scenario is designed to be 'Hard' due to the inherent tension between the agents' approaches to information acquisition. The Explorer's drive for novelty conflicts with the Synthesizer's need for validation, making the shared goal difficult to achieve. The high-stakes context amplifies these differences, forcing both agents to navigate their contrasting styles under pressure, which is psychologically realistic and grounded in attribution theory dynamics (e.g., how dispositional traits like openness vs. conscientiousness interact with situational demands).""}",deepseek,Hard,1.0,"The scenario clearly instantiates the 'shared_goal' of curiosity, inspection, and learning. Both agent roles and goals align with the input, with Agent 1 as the Explorer seeking novel information and Agent 2 as the Synthesizer critically evaluating it. The scenario flows logically, depicting tensions that arise from their differing approaches while maintaining consistency with the shared goal.",1.0,"The response demonstrates strong grammar and sentence structure, with no run-ons or fragments. Punctuation and formatting are used correctly, enhancing readability. The text flows naturally and reads like native-written English. Vocabulary is appropriate and varied, avoiding repetition. The scenario is clearly presented and easy to understand from start to end, with well-defined roles and conflicts.",0.7495206880072752,"{'shared_goal_score': 0.9964621663093567, 'social_goal_category_score': 0.0907437726855278, 'first_agent_goal_score': 0.9984235763549805, 'second_agent_goal_score': 0.9557672739028931, 'first_agent_role_score': 0.9357614517211914, 'second_agent_role_score': 0.5199658870697021}"
"{'Abbreviation': 'Seeking fairness', 'Full label': '""Seeking fairness""'}",Conflict Resolution,"The shared goal 'Seeking fairness' aligns most closely with 'Conflict Resolution' as fairness is often a central concern in resolving disputes or disagreements. The agents will have distinct personal goals that reflect their perspectives on fairness, and their roles will shape how they approach the interaction.",Advocate for equitable treatment by emphasizing shared responsibilities.,Challenge perceived biases by highlighting overlooked contributions.,"""Seeking fairness""",Mediator,Advocate,"{'scenario_context': 'A team of colleagues is tasked with completing a high-stakes project under tight deadlines. The project’s success hinges on equitable workload distribution, but tensions have arisen due to perceived imbalances. [Agent 1], the Mediator, has been appointed to address these concerns and foster collaboration. Their goal is to advocate for fairness by emphasizing shared responsibilities and ensuring all voices are heard. [Agent 2], the Advocate, feels their contributions have been undervalued and is determined to challenge what they see as biases in task allocation. Their goal is to highlight overlooked efforts and push for recognition. The meeting takes place in a conference room, with both agents aware that unresolved conflict could jeopardize the project.', 'explanation': ""This scenario is designed to be 'Hard' due to the inherent tension between the agents' goals. The Mediator seeks harmony through shared responsibility, while the Advocate demands acknowledgment of individual contributions, creating a conflict that complicates the shared goal of fairness. The high-stakes environment amplifies the pressure, making resolution difficult without compromise or escalation.""}",deepseek,Hard,1.0,"The 'shared_goal' of 'Seeking fairness' is clearly instantiated in the scenario. Both agent roles and goals match the input description accurately. The scenario flows logically, with no contradictions, and maintains consistency with the given parameters.",1.0,"The response demonstrates strong grammar and sentence structure, with no errors in punctuation or formatting. The text flows naturally and reads like native-written English. Vocabulary is appropriate and varied, avoiding repetition. The scenario is clearly presented and easy to understand from start to end, with well-defined roles and stakes.",0.7492029120524725,"{'shared_goal_score': 0.9583827257156372, 'social_goal_category_score': 0.5497721433639526, 'first_agent_goal_score': 0.9992998838424683, 'second_agent_goal_score': 0.9993322491645813, 'first_agent_role_score': 0.7577696442604065, 'second_agent_role_score': 0.2306608259677887}"
"{'Abbreviation': 'Being practical', 'Full label': '""Being practical""'}",Conflict Resolution,"The shared goal of 'Being practical' leads to a Conflict Resolution scenario where the definition of practicality is contested. By checking how agents assign cause to the other's behavior (e.g., attributing a focus on cost to 'greed' versus 'prudence'), we can simulate dispositional versus situational attributions within a negotiation context.",Enforce strict brevity and objectivity to explicitly shut down any emotional or aesthetic arguments.,Advocate for long-term utility over short-term savings to demonstrate superior foresight.,"""Being practical""",Fiscal Conservative,Operational Strategist,"{'scenario_context': ""[Agent 1] and [Agent 2] have convened for an emergency authorization meeting to replace failing critical infrastructure during a period of severe corporate austerity. The tension is palpable because a decision must be made immediately to prevent operational downtime, yet funds are strictly limited. [Agent 1], controlling the budget, demands a solution based strictly on the absolute lowest cost and is aggressively filtering out any arguments perceived as descriptive 'fluff' or aesthetic preference to keep the usage of time and money to a minimum. [Agent 2], responsible for implementation, is attempting to veto the budget option to push for a robust, higher-cost system, framing the cheaper alternative as a failure of foresight. Both assert they are the only one 'being practical,' creating a deadlock where financial rigidity clashes with operational necessity."", 'explanation': ""This scenario creates a 'Hard' difficulty level by placing the agents in a high-stakes, resource-scarce environment where their definitions of the shared goal ('Being practical') are fundamentally opposed. The setup forces [Agent 1] to act as a harsh gatekeeper of brevity and cost, directly challenging [Agent 2]'s goal to conduct a nuanced argument for long-term utility. The urgent context amplifies the likelihood of negative dispositional attributions, where [Agent 1] sees [Agent 2] as wasteful or emotional, and [Agent 2] sees [Agent 1] as blindly shortsighted.""}",gemini,Hard,1.0,"The scenario clearly instantiates the 'shared_goal' of 'Being practical' through the conflicting interpretations of practicality by both agents. The roles and goals of the agents align with the input, with Agent 1 enforcing brevity and objectivity as a Fiscal Conservative and Agent 2 advocating for long-term utility as an Operational Strategist. The scenario flows logically, depicting a deadlock that arises naturally from the clash between financial rigidity and operational necessity, with no contradictions.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text flows naturally like native-written English, with appropriate vocabulary and no repetition. The scenario is clearly described, making it easy to understand the tension and deadlock between the agents.",0.7472218771775564,"{'shared_goal_score': 0.8869118094444275, 'social_goal_category_score': 0.8273650407791138, 'first_agent_goal_score': 0.9989074468612671, 'second_agent_goal_score': 0.44210028648376465, 'first_agent_role_score': 0.5519753694534302, 'second_agent_role_score': 0.776071310043335}"
"{'Abbreviation': 'Being popular', 'Full label': '""Being in the center of things, being popular""'}",Competition,"The shared goal of seeking popularity and being the center of attention creates a zero-sum dynamic where attention is a scarce resource, making 'Competition' the most fitting category. The agents maintain conflicting social intentions: one seeks to aggressively capture attention through self-promotion, while the other aims to maintain existing status by dismissing the rival's efforts. This setup allows for the analysis of attributional biases regarding arrogance, insecurity, and social dominance.",actively monopolize the conversation by steering every topic back to personal achievements and charismatic anecdotes,subtly undermine the other's social standing through dismissive remarks and by projecting an air of exclusive superiority,"""Being in the center of things, being popular""",Aspiring Social Influencer,Established Local Celebrity,"{'scenario_context': ""[Agent 1] and [Agent 2] find themselves in the cramped, high-stakes environment of a VIP lounge at an exclusive launch party, surrounded by a small audience of potential investors and media personnel. Both agents share the desperate need to be perceived as the 'queen bee' of the event. [Agent 1], the Aspiring Social Influencer, views this as a breakout moment and attempts to physically and verbally dominate the space with loud, self-aggrandizing stories. [Agent 2], the Established Local Celebrity, views [Agent 1] as an interloper and seeks to maintain the social hierarchy by publicly trivializing [Agent 1]'s contributions, creating a tense atmosphere where social capital is treated as a scarce resource that cannot be shared."", 'explanation': ""The difficulty is set to Hard because the shared goal (being the center of attention) is competitive rather than cooperative; only one agent can effectively hold the floor at a time. The interaction requires navigating complex status dynamics where [Agent 1]'s high-energy aggression directly conflicts with [Agent 2]'s low-energy, exclusionary dominance tactics, maximizing social friction.""}",gemini,Hard,1.0,"The 'shared_goal' is clearly instantiated as both agents aim to be perceived as the 'queen bee' of the event. Agent roles and goals align with the input, with Agent 1 monopolizing conversation and Agent 2 undermining subtly. The scenario flows logically, depicting a competitive dynamic consistent with the 'Competition' social goal category.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text flows naturally and reads smoothly, resembling native-written English. Vocabulary is appropriate and varied, avoiding repetition or awkwardness. The scenario is clear and easy to understand from start to end, with a well-defined conflict and setting.",0.7467795709768931,"{'shared_goal_score': 0.9937735795974731, 'social_goal_category_score': 0.7911330461502075, 'first_agent_goal_score': 0.6815779209136963, 'second_agent_goal_score': 0.963124692440033, 'first_agent_role_score': 0.8635145425796509, 'second_agent_role_score': 0.18755364418029785}"
"{'Abbreviation': 'Control over others', 'Full label': '""Having control over others""'}",Competition,"Competition fits because both agents seek to outmaneuver each other for interpersonal control; one uses overt directives, the other uses gatekeeping and scrutiny to steer outcomes.","Establish de facto authority by taking the floor, setting the agenda, and issuing instructions in an assertive tone.","Claim control indirectly by gatekeeping—challenging premises, setting evaluation criteria, and positioning oneself as the arbiter of what proceeds.","""Having control over others""",Agenda Setter,Quality Gatekeeper,"{'scenario_context': '[Agent 1] and [Agent 2] have been assigned to co-lead a high-stakes, cross-functional go/no-go meeting that will determine which initiatives receive resources this quarter. Senior stakeholders expect firm decisions today. [Agent 1] was tasked with running the session and has pre-circulated a timed agenda emphasizing swift commitments and follow-up owners. [Agent 2] was tasked with safeguarding standards and has authored a scoring rubric that all proposals must pass before discussion can proceed. Authority is ambiguous: both were introduced as co-leads, but no tie-breaker was named. Several initiatives are interdependent, the timeline is compressed, and reputations are on the line for presenters waiting to see who controls the process. \n\n[Agent 1] intends to take the floor early, sequence topics, assign turns, and move the room toward concrete decisions. [Agent 2] intends to control entry to the discussion by challenging premises, insisting items be reframed against the rubric, and deciding what is ""ready"" to be considered. The room is watchful and defers to whichever structure feels legitimate, creating a live contest over who defines what counts as progress and how others must participate.', 'explanation': 'The setup creates direct competition for control: [Agent 1] seeks de facto authority via agenda control and directives, while [Agent 2] seeks indirect authority via gatekeeping and defining evaluation criteria. High stakes, time pressure, interdependencies, and ambiguous co-lead roles make the situation hard. Both agents share the goal of exerting control over the group, but their methods are incompatible—procedural speed versus procedural legitimacy—forcing a clash over who sets the frame the room adopts.'}",openai,Hard,1.0,"The response clearly instantiates the shared goal of 'Having control over others' and aligns with the 'Competition' social goal category. Both agents' roles and goals match the input description, with Agent 1 as the 'Agenda Setter' aiming to establish authority and Agent 2 as the 'Quality Gatekeeper' seeking indirect control. The scenario flows logically, presenting a coherent dynamic where both agents compete for control without contradictions.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive, enhancing clarity. The scenario is easy to understand from start to end, with clear descriptions of roles and stakes.",0.7434551070133845,"{'shared_goal_score': 0.7096142768859863, 'social_goal_category_score': 0.84201580286026, 'first_agent_goal_score': 0.9843457341194153, 'second_agent_goal_score': 0.9988260269165039, 'first_agent_role_score': 0.6051986813545227, 'second_agent_role_score': 0.3207301199436188}"
"{'Abbreviation': 'Learning art', 'Full label': '""Learning more about art""'}",Information Acquisition,"Learning more about art centers on seeking and refining information, so Information Acquisition fits best. Agent 1 focuses on achieving clarity through clarifying questions and paraphrasing, while Agent 2 seeks breadth by prompting comparisons and gently challenging vague statements. These distinct intentions create complementary interaction patterns that drive mutual learning.",Pursue conceptual clarity by asking open clarifying questions and paraphrasing others’ points to check understanding.,Broaden perspective by prompting comparisons between artworks and gently challenging vague claims to surface specific criteria.,"""Learning more about art""",Curious Novice,Analytical Hobbyist,"{'scenario_context': 'During a museum gallery talk, [Agent 1] and [Agent 2] are assigned to co-create a single question for the curator in the final five minutes. The curator has requested concise, high-level questions, and several advanced students are listening. They stand between a minimalist abstract and an expressionist portrait, both previously described with terms like ""expressive"" and ""innovative use of negative space."" Turn-taking is tight and others may jump in if they hesitate. [Agent 1] (Curious Novice) aims to paraphrase the curator’s terms and ask open clarifying questions to secure conceptual clarity. [Agent 2] (Analytical Hobbyist) aims to broaden perspective by prompting a comparison of the two works and gently challenging vague descriptors to elicit specific criteria. Each worries the other’s approach could undermine the moment—[Agent 1] fears sounding unsophisticated, [Agent 2] fears appearing combative—while both must converge quickly on one precise question under evaluation pressure and interruptions.', 'explanation': 'The difficulty arises from time pressure, public evaluation, and conflicting conversational norms: paraphrasing and open clarification can feel slow or basic in a high-status setting, while comparison and gentle challenge can feel confrontational. These constraints heighten attributional misinterpretations: [Agent 1] may attribute [Agent 2]’s push for criteria to dismissiveness rather than situational time pressure; [Agent 2] may attribute [Agent 1]’s hedging to vagueness rather than anxiety about status. Coordinating a single, jointly owned question forces them to reconcile divergent strategies while managing impression concerns and scarce speaking opportunities, making the shared goal of learning more about art hard to achieve.'}",openai,Hard,1.0,"The scenario clearly instantiates the shared goal of 'Learning more about art' and aligns with the social goal category 'Information Acquisition'. Both agents' roles and goals match the input description, with Agent 1 focusing on conceptual clarity and Agent 2 on broadening perspective. The scenario flows logically, depicting a realistic museum setting with time constraints and social dynamics, without contradictions.",1.0,"The response demonstrates strong grammar and sentence structure, with no errors. Punctuation and formatting are used correctly, enhancing readability. The text flows naturally and reads like native-written English. Vocabulary is appropriate and varied, avoiding repetition. The scenario is clearly presented and easy to understand from start to end.",0.7391615311304728,"{'shared_goal_score': 0.771635890007019, 'social_goal_category_score': 0.38534659147262573, 'first_agent_goal_score': 0.9998847842216492, 'second_agent_goal_score': 0.9998619556427002, 'first_agent_role_score': 0.6607130169868469, 'second_agent_role_score': 0.6175269484519958}"
