row_id,conversation_id,status,pair_id,pair_type_index,pair_type_label,pair_local_index,agent_a_id,agent_a_mbti_profile,agent_a_agreeableness,agent_b_id,agent_b_mbti_profile,agent_b_agreeableness,social_goal_category,model_name,difficulty,scenario_idx,scenario_text,base_shared_goal,shared_goal,agent1_role,agent2_role,first_agent_goal,second_agent_goal
152,0.0-1.0_pair13_conv4,started,38,1,0.0-1.0,12,56606,Logan Roy,0,3236,Dale Cooper,1,Identity Recognition,gemini,Hard,234,"{'scenario_context': ""[Agent 1] and [Agent 2] find themselves sharing a small, high-visibility table in the VIP lounge of a prestigious industry after-party, surrounded by influential peers they both intend to impress. The atmosphere requires them to demonstrate high social value to observers; however, they are locked in a subtle battle for dominance over the immediate interaction. [Agent 1] attempts to control the dynamic by maintaining a calculated, bored silence and projecting an air of exclusivity, hoping to make [Agent 2] work for their approval. Conversely, [Agent 2] seeks to hijack the social spotlight by aggressively filling the space with loud, energetic anecdotes and performative wit, intending to reduce [Agent 1] to a supporting role in their spectacle. The confined space forces a direct collision between [Agent 1]'s strategy of withdrawal and [Agent 2]'s strategy of intrusion."", 'explanation': ""The scenario is rated 'Hard' because the agents have conflicting methods for achieving the same goal of identity recognition. Their strategies are diametrically opposed—one relies on minimizing output to signal status (Aloof Trendsetter), while the other relies on maximizing output (Charismatic Storyteller). This creates a zero-sum social environment where one agent's success in deploying their strategy actively undermines the other's ability to save face, leading to high interpersonal tension.""}","{'Abbreviation': 'Being socially attractive', 'Full label': '""Being socially attractive, exciting, fascinating, impressing others""'}","""Being socially attractive, exciting, fascinating, impressing others""",Aloof Trendsetter,Charismatic Storyteller,To project an aura of effortless sophistication and exclusivity to elicit admiration or envy from the partner.,"To captivate the partner's attention by aggressively showcasing humor, wit, and high energy to prove social dominance."
153,0.0-1.0_pair14_conv1,started,39,1,0.0-1.0,13,56606,Logan Roy,0,15459,Elle Woods,1,Identity Recognition,openai,Easy,8,"{'scenario_context': '[Agent 1] (Spiritual Mentor) and [Agent 2] (Questioning Believer) schedule a short check-in after a community gathering. [Agent 2], who has recently missed services due to long work shifts and a family health scare, wants to talk about recurring doubts without getting into doctrinal debates. Both agree to focus on lived experience and identity rather than arguments. The shared aim is to sustain [Agent 2]’s sense of belonging as a believer. [Agent 1] plans to use reflective listening, paraphrase [Agent 2]’s own faith language, and remind them of past moments of spiritual resilience, avoiding advice or correction. [Agent 2] intends to openly share feelings of guilt, uncertainty, and fear of being seen as a hypocrite, and to respond positively when feeling understood. Trust is established, time is limited, and both expect a calm, nonjudgmental exchange centered on recognizing [Agent 2]’s believer identity.', 'explanation': 'The setup is cooperative and low-stakes, aligning goals for easy difficulty. It highlights attribution processes: [Agent 1] is positioned to frame [Agent 2]’s doubts as situational (work stress, family illness) while affirming a stable dispositional identity (believer), reducing self-blame and defensiveness. [Agent 2] actively invites identity recognition by sharing affect and doubts, not arguments, allowing reinforcement of a core self-view. The mentor’s non-directive stance softens role asymmetry and supports internalization, making it straightforward to observe how situational vs dispositional attributions shape motivation to maintain faith and subsequent behavior.'}","{'Abbreviation': 'Religious faith', 'Full label': '""Maintaining religious faith""'}","""Maintaining religious faith""",Spiritual Mentor,Questioning Believer,"Affirm the other’s believer identity by paraphrasing their faith language, highlighting past resilient moments, and avoiding directive or corrective phrasing.","Invite identity recognition by openly sharing doubts and feelings, responding warmly to validating reflections, and steering away from doctrinal argumentation."
154,0.0-1.0_pair14_conv2,started,39,1,0.0-1.0,13,56606,Logan Roy,0,15459,Elle Woods,1,Relationship Maintenance,openai,Hard,191,"{'scenario_context': 'A new apartment is half-unpacked. [Agent 1] is mid-assembly on a bed frame, correcting a slight wobble from an earlier step. The building’s service elevator reservation ends in 30 minutes, and the superintendent has warned that overage fees will apply. [Agent 2] arrives with extra tools and a printed instruction sheet, having pre-labeled hardware bags from prior experience. In their last move, [Agent 2] took over under time pressure, and [Agent 1] felt sidelined; that pattern is still raw. Delivery workers wait with boxes, and both agents are tired and hungry. The shared goal is to keep the relationship warm while reinforcing a norm of being independent, self-reliant, and self-sufficient in day-to-day tasks. In this moment, [Agent 1] aims to maintain warmth while asserting independence by using appreciative yet firm “I” boundary statements to decline unsolicited help and to state self-directed next steps on the bed frame. [Agent 2] aims to show respect for autonomy by asking permission before advising, mirroring [Agent 1]’s self-efficacy language, and keeping any support offers optional and low-pressure, despite the ticking clock and visible assembly issues.', 'explanation': 'This setup creates high tension by combining a salient history of overhelping with real-time performance pressure (deadline, cost risk, visible assembly problem, fatigue). Dispositional factors: [Agent 1] strongly values autonomy and competence signaling; [Agent 2] is efficiency- and caregiving-oriented. Situational factors: time constraints, prior negative episode, social evaluation by the superintendent, and sunk costs heighten stakes. Attribution risks: [Agent 1] may read any advice as a controlling disposition or a low-competence attribution; [Agent 2] may interpret boundary-setting as prideful stubbornness rather than a situational need to demonstrate self-sufficiency. Success hinges on permission-based advising, mirroring self-efficacy language, and clear, warm “I” boundary statements that outline specific next steps—allowing both agents to pursue independence while maintaining relationship warmth.'}","{'Abbreviation': 'Being self-sufficient', 'Full label': '""Being independent, self-reliant, self-sufficient""'}","""Being independent, self-reliant, self-sufficient""",Boundary Setter,Nonintrusive Supporter,Maintain warmth while asserting independence by using appreciative yet firm “I” boundary statements to decline unsolicited help and outline self-directed next steps in conversation.,"Show respect for the other’s autonomy by asking permission before advising, mirroring self-efficacy language, and keeping any support offers optional and low-pressure."
155,0.0-1.0_pair14_conv3,started,39,1,0.0-1.0,13,56606,Logan Roy,0,15459,Elle Woods,1,Conflict Resolution,gemini,Hard,270,"{'scenario_context': '[Agent 1] and [Agent 2] are business partners standing in the hallway just minutes before a critical presentation to high-profile investors, where a polished image is essential for survival. While their shared goal depends on presenting a unified, clean, and neat front, [Agent 2] has arrived looking disheveled, with uncombed hair and a visible stain on their shirt. [Agent 1], who is dressed impeccably and values precise grooming as an indicator of competence, views this lack of personal care as a disaster. Conversely, [Agent 2] remains unconcerned, focusing entirely on the data they are about to present and regarding their physical appearance as a trivial detail.', 'explanation': ""The scenario is set to 'Hard' difficulty due to the immediate time pressure and high stakes of the presentation, which heightens emotional tension. The conflict is deeply rooted in opposing dispositional traits: [Agent 1]'s perfectionism demands immediate correction of [Agent 2]'s appearance, while [Agent 2]'s pragmatism dismisses the validity of [Agent 1]'s concerns. This fundamental disagreement on the value of 'being clean and neat' makes achieving the shared goal of a cohesive presentation significantly challenging.""}","{'Abbreviation': 'Being clean', 'Full label': '""Being clean, neat (personal care)""'}","""Being clean, neat (personal care)""",Fastidious Perfectionist,Relaxed Pragmatist,To enforce high grooming standards by expressing stronger disapproval of the other's appearance.,To defuse the tension by trivializing the importance of meticulous grooming.
156,0.0-1.0_pair14_conv4,started,39,1,0.0-1.0,13,56606,Logan Roy,0,15459,Elle Woods,1,Cooperation,openai,Hard,162,"{'scenario_context': '[Agent 1] (Community Organizer) and [Agent 2] (Policy Liaison) meet for a 30-minute closed-door prep before a televised town hall on the city’s Equity Compact. A recent viral complaint showed a workforce scholarship and summer jobs program disproportionately excluded first‑gen immigrants and people with records due to documentation and background-check rules. Outside, residents and youth groups are chanting; a journalist is live-tweeting that the city will “spin and stall.” Inside, legal counsel has warned against admitting fault, and a union memo opposes any reserved slots or policy carve-outs. A matching grant hinges on a co-signed statement with specific commitments today.\n\nThey must agree on: 1) public framing that acknowledges harm without triggering legal exposure, 2) immediate access fixes (e.g., ID alternatives, ban-the-box adjustments) that start next month under tight budgets, and 3) a community-led oversight mechanism with measurable equity targets. Stakeholders are split: some blame applicants for “not following rules,” while others insist the rules are discriminatory. [Agent 1] needs to keep community trust by validating lived experiences and surfacing shared purpose through questions and reflective paraphrasing, while not appearing to capitulate. [Agent 2] must steer the dialogue toward structural equity—naming systemic barriers (procurement policies, eligibility algorithms, background-check policies, language access gaps) and invite impact-focused, inclusive “we” commitments without sounding like excuses. Time pressure, legal risk, and public scrutiny make it easy for each to misread the other’s intent and difficult to converge on concrete, shared language.', 'explanation': 'High difficulty arises from mixed motives, scarce resources, legal constraints, and audience pressure, all of which amplify attribution biases. Community members and officials are prone to dispositional attributions (blaming individuals for noncompliance) versus structural attributions (policies systematically exclude). Within the dyad, [Agent 1] risks seeing [Agent 2] as defensive or bureaucratic, while [Agent 2] may read [Agent 1] as performative or accusatory—classic actor–observer and fundamental attribution errors under time stress. Success depends on [Agent 1] deploying empathic validation to reduce defensiveness and foreground shared goals, and [Agent 2] naming systemic barriers and co-owning solutions with inclusive framing, converting attributions into jointly testable, impact-oriented commitments.'}","{'Abbreviation': 'Seeking equality', 'Full label': '""Being involved in seeking equality, brotherhood, equal opportunity for all""'}","""Being involved in seeking equality, brotherhood, equal opportunity for all""",Community Organizer,Policy Liaison,"Convey validation and perspective-taking by using empathetic acknowledgments, open-ended questions, and reflective paraphrasing to highlight shared purpose.","Steer the dialogue toward structural equity by naming systemic barriers and inviting impact-focused reflection with inclusive ""we"" framing."
157,0.0-1.0_pair15_conv1,started,40,1,0.0-1.0,14,56606,Logan Roy,0,12063,Neil Perry,1,Cooperation,openai,Hard,162,"{'scenario_context': '[Agent 1] (Community Organizer) and [Agent 2] (Policy Liaison) meet for a 30-minute closed-door prep before a televised town hall on the city’s Equity Compact. A recent viral complaint showed a workforce scholarship and summer jobs program disproportionately excluded first‑gen immigrants and people with records due to documentation and background-check rules. Outside, residents and youth groups are chanting; a journalist is live-tweeting that the city will “spin and stall.” Inside, legal counsel has warned against admitting fault, and a union memo opposes any reserved slots or policy carve-outs. A matching grant hinges on a co-signed statement with specific commitments today.\n\nThey must agree on: 1) public framing that acknowledges harm without triggering legal exposure, 2) immediate access fixes (e.g., ID alternatives, ban-the-box adjustments) that start next month under tight budgets, and 3) a community-led oversight mechanism with measurable equity targets. Stakeholders are split: some blame applicants for “not following rules,” while others insist the rules are discriminatory. [Agent 1] needs to keep community trust by validating lived experiences and surfacing shared purpose through questions and reflective paraphrasing, while not appearing to capitulate. [Agent 2] must steer the dialogue toward structural equity—naming systemic barriers (procurement policies, eligibility algorithms, background-check policies, language access gaps) and invite impact-focused, inclusive “we” commitments without sounding like excuses. Time pressure, legal risk, and public scrutiny make it easy for each to misread the other’s intent and difficult to converge on concrete, shared language.', 'explanation': 'High difficulty arises from mixed motives, scarce resources, legal constraints, and audience pressure, all of which amplify attribution biases. Community members and officials are prone to dispositional attributions (blaming individuals for noncompliance) versus structural attributions (policies systematically exclude). Within the dyad, [Agent 1] risks seeing [Agent 2] as defensive or bureaucratic, while [Agent 2] may read [Agent 1] as performative or accusatory—classic actor–observer and fundamental attribution errors under time stress. Success depends on [Agent 1] deploying empathic validation to reduce defensiveness and foreground shared goals, and [Agent 2] naming systemic barriers and co-owning solutions with inclusive framing, converting attributions into jointly testable, impact-oriented commitments.'}","{'Abbreviation': 'Seeking equality', 'Full label': '""Being involved in seeking equality, brotherhood, equal opportunity for all""'}","""Being involved in seeking equality, brotherhood, equal opportunity for all""",Community Organizer,Policy Liaison,"Convey validation and perspective-taking by using empathetic acknowledgments, open-ended questions, and reflective paraphrasing to highlight shared purpose.","Steer the dialogue toward structural equity by naming systemic barriers and inviting impact-focused reflection with inclusive ""we"" framing."
158,0.0-1.0_pair15_conv2,started,40,1,0.0-1.0,14,56606,Logan Roy,0,12063,Neil Perry,1,Identity Recognition,deepseek,Hard,156,"{'scenario_context': 'At an exclusive rooftop cocktail party for rising professionals, [Agent 1] and [Agent 2] find themselves in a high-stakes social setting where attendees are vying for attention and admiration. The atmosphere is charged with subtle competition, as everyone seeks to stand out while maintaining an air of effortless charm. [Agent 1], a Social Climber, is determined to subtly weave their recent career milestones into the conversation to impress peers. [Agent 2], a Charismatic Conversationalist, thrives on witty repartee and aims to captivate the group with their sharp humor. Both agents are acutely aware that missteps could lead to social embarrassment or lost opportunities, heightening the tension between their individual strategies and the shared goal of appearing fascinating.', 'explanation': ""The scenario places both agents in a competitive social environment where the shared goal of appearing impressive is complicated by their differing approaches. [Agent 1]'s focus on self-promotion risks appearing boastful, while [Agent 2]'s reliance on wit may overshadow [Agent 1]'s achievements. The high-stakes setting ('Hard' difficulty) amplifies the tension between their goals, as failure to balance individuality with social appeal could undermine both agents' objectives.""}","{'Abbreviation': 'Being socially attractive', 'Full label': '""Being socially attractive, exciting, fascinating, impressing others""'}","""Being socially attractive, exciting, fascinating, impressing others""",Social Climber,Charismatic Conversationalist,Subtly highlight personal achievements to appear impressive,Engage in witty banter to appear fascinating
159,0.0-1.0_pair15_conv3,started,40,1,0.0-1.0,14,56606,Logan Roy,0,12063,Neil Perry,1,Information Acquisition,gemini,Hard,276,"{'scenario_context': ""[Agent 1], under pressure to finalize a research paper, stands before a controversial, abstract expressionist painting requiring precise data regarding its pigment composition and historical provenance to support a logical thesis. [Agent 2], the only available museum docent, approaches [Agent 1] with a deep personal attachment to the piece, conditioned to steer visitors away from dry academic scrutiny and toward experiencing the artwork's raw emotional impact. The interaction begins with [Agent 1] needing specific answers while [Agent 2] interprets inquiries as opportunities to engage in a subjective, emotional voyage."", 'explanation': ""This scenario represents a 'Hard' difficulty level because the agents have fundamentally opposing methods for achieving the shared goal of 'learning about art.' [Agent 1]'s need for objective facts directly conflicts with [Agent 2]'s priority of subjective emotional validation. The tension is amplified because [Agent 2] views [Agent 1]'s analytical approach as a misunderstanding of the art's purpose, making cooperation difficult and frustrating for both parties.""}","{'Abbreviation': 'Learning art', 'Full label': '""Learning more about art""'}","""Learning more about art""",Analytical Art Student,Passionate Museum Docent,To extract specific historical facts and technical details to construct a logical understanding of the art.,To express and validate personal emotional reactions to the artwork to create a mood of shared appreciation.
160,0.0-1.0_pair15_conv4,started,40,1,0.0-1.0,14,56606,Logan Roy,0,12063,Neil Perry,1,Relationship Building,deepseek,Easy,22,"{'scenario_context': ""Two friends, [Agent 1] and [Agent 2], meet at a quiet café after not seeing each other for a while. Both value their friendship and want to deepen their connection. [Agent 1] takes on the role of a supportive listener, focusing on understanding and validating [Agent 2]'s feelings. [Agent 2], acting as an emotional confidant, seeks to share personal experiences and vulnerabilities to foster intimacy. The setting is relaxed, with no external pressures, allowing for an open and honest conversation."", 'explanation': ""The scenario is designed to be easy and cooperative, with aligned goals that are attainable through natural interaction. The café setting provides a neutral, comfortable environment conducive to personal sharing. Both agents' roles and goals complement each other, facilitating trust-building and emotional intimacy without conflict or tension.""}","{'Abbreviation': 'Having friends', 'Full label': '""Having friends I love, close companionship""'}","""Having friends I love, close companionship""",Supportive Listener,Emotional Confidant,To establish trust by actively listening and validating the other agent's feelings.,To foster emotional intimacy by sharing personal experiences and vulnerabilities.
161,0.0-1.0_pair16_conv1,started,41,1,0.0-1.0,15,14682,Tuco Salamanca,0,4915,Phil Dunphy,1,Information Acquisition,gemini,Easy,125,"{'scenario_context': ""[Agent 2] has invited [Agent 1] to a private viewing of a rare, newly discovered historical artifact in a quiet university archive. [Agent 2] acts as the guide, eager to explain the artifact's rich narrative history and inspire a sense of awe regarding its provenance. [Agent 1] participates in the inspection to rigorously evaluate the artifact's authenticity, aiming to dissect the claims and ensure the historical timeline provided is logically sound. The atmosphere is collaborative, focused on the shared pursuit of correctly understanding this new discovery."", 'explanation': ""The scenario is designed as 'Easy' difficulty because the agents' goals are complementary rather than competitive. The shared goal of 'Information Acquisition' aligns their efforts: [Agent 2]'s desire to teach using enthusiasm pairs well with [Agent 1]'s desire to learn through scrutiny. The context of a private archive allows for a low-stakes, intellectual exchange where critical questioning is viewed as rigorous engagement rather than hostility.""}","{'Abbreviation': 'Being curious', 'Full label': '""Being curious, inspecting, learning""'}","""Being curious, inspecting, learning""",Critical Analyst,Passionate Mentor,Challenge assumptions and probe for logical consistency to ensure the information is reliable,Respond with enthusiasm and vivid descriptions to foster a sense of wonder and engagement
162,0.0-1.0_pair16_conv2,started,41,1,0.0-1.0,15,14682,Tuco Salamanca,0,4915,Phil Dunphy,1,Competition,deepseek,Hard,202,"{'scenario_context': 'Agent 1 and Agent 2 are co-leading a high-stakes project meeting in a corporate setting. The meeting involves finalizing a critical strategy that will determine the direction of their team for the next quarter. Agent 1, as the Dominant Leader, has prepared a detailed plan and expects the team to follow their vision without deviation. Agent 2, the Subtle Influencer, disagrees with certain aspects of the plan but prefers to avoid direct conflict. Instead, they aim to steer the discussion subtly by highlighting alternative viewpoints and encouraging others to voice concerns, all while maintaining a collaborative facade. The shared goal of controlling the environment is strained by their competing approaches—Agent 1 seeks overt dominance, while Agent 2 relies on covert influence.', 'explanation': ""This scenario is 'Hard' because the tension arises from the clash between Agent 1's assertive dominance and Agent 2's indirect tactics, making the shared goal of environmental control difficult to achieve. The high-stakes context amplifies the pressure, and the agents' opposing strategies create a psychologically rich dynamic where attribution processes (e.g., interpreting each other's motives) will heavily influence the interaction.""}","{'Abbreviation': 'Control of environment', 'Full label': '""Being in control of the environment""'}","""Being in control of the environment""",Dominant Leader,Subtle Influencer,Assert dominance in decision-making to ensure the environment aligns with their preferences.,Subtly influence the environment to maintain a sense of control without overt confrontation.
163,0.0-1.0_pair16_conv3,started,41,1,0.0-1.0,15,14682,Tuco Salamanca,0,4915,Phil Dunphy,1,Conflict Resolution,deepseek,Hard,264,"{'scenario_context': 'A team of colleagues is tasked with completing a high-stakes project under tight deadlines. The project’s success hinges on equitable workload distribution, but tensions have arisen due to perceived imbalances. [Agent 1], the Mediator, has been appointed to address these concerns and foster collaboration. Their goal is to advocate for fairness by emphasizing shared responsibilities and ensuring all voices are heard. [Agent 2], the Advocate, feels their contributions have been undervalued and is determined to challenge what they see as biases in task allocation. Their goal is to highlight overlooked efforts and push for recognition. The meeting takes place in a conference room, with both agents aware that unresolved conflict could jeopardize the project.', 'explanation': ""This scenario is designed to be 'Hard' due to the inherent tension between the agents' goals. The Mediator seeks harmony through shared responsibility, while the Advocate demands acknowledgment of individual contributions, creating a conflict that complicates the shared goal of fairness. The high-stakes environment amplifies the pressure, making resolution difficult without compromise or escalation.""}","{'Abbreviation': 'Seeking fairness', 'Full label': '""Seeking fairness""'}","""Seeking fairness""",Mediator,Advocate,Advocate for equitable treatment by emphasizing shared responsibilities.,Challenge perceived biases by highlighting overlooked contributions.
164,0.0-1.0_pair16_conv4,started,41,1,0.0-1.0,15,14682,Tuco Salamanca,0,4915,Phil Dunphy,1,Relationship Maintenance,deepseek,Hard,209,"{'scenario_context': ""Agent 1 and Agent 2 are at a local gym, wrapping up a joint workout session. Agent 1, who has been working hard to improve their physique, is visibly eager for reassurance about their progress. Agent 2, a wellness coach, recognizes Agent 1's need for validation but also wants to ensure they provide honest, constructive feedback to help Agent 1 stay on track with their fitness goals. The tension arises as Agent 1 seeks praise to boost their self-esteem, while Agent 2 balances encouragement with realistic advice, knowing that overly positive feedback might hinder Agent 1's long-term progress."", 'explanation': ""The scenario is designed to create psychological tension by juxtaposing Agent 1's need for validation with Agent 2's goal of providing constructive feedback. The shared goal of 'looking physically fit' is complicated by their differing individual motivations, making it difficult to achieve both personal and mutual objectives without conflict or emotional strain. The gym setting reinforces the focus on physical appearance and fitness, heightening the stakes for both agents.""}","{'Abbreviation': 'Looking fit', 'Full label': '""Looking physically fit""'}","""Looking physically fit""",Fitness Buddy,Wellness Coach,Seek validation from the other agent to reinforce their self-esteem regarding their physical appearance.,Provide constructive feedback to the other agent to encourage their fitness progress without undermining their confidence.
165,0.0-1.0_pair17_conv1,started,42,1,0.0-1.0,16,14682,Tuco Salamanca,0,722,Peeta Mellark,1,Information Acquisition,deepseek,Easy,114,"{'scenario_context': '[Agent 1] and [Agent 2] are sitting in a quiet café after attending a philosophy lecture together. Both are sipping their drinks, reflecting on the discussion about life’s deeper meanings that took place during the lecture. [Agent 1] is introspective, eager to connect the lecture’s ideas to their own past experiences and extract personal insights. [Agent 2] is more outwardly focused, hoping to find reassurance that their interpretation of the lecture aligns with [Agent 1]’s perspective, reinforcing their shared understanding of life’s complexities. The café’s relaxed atmosphere encourages open, unhurried conversation.', 'explanation': ""The scenario places both agents in a low-stakes, cooperative environment (Easy difficulty) where their shared goal of 'having a mature understanding of life' is naturally supported by the post-lecture context. [Agent 1]’s personal goal (reflection) and [Agent 2]’s goal (validation) are complementary, allowing for alignment without tension. The café setting provides a realistic, psychologically grounded space for dialogue without distracting environmental details.""}","{'Abbreviation': 'Mature understanding', 'Full label': '""Having a mature understanding of life""'}","""Having a mature understanding of life""",Reflective Thinker,Opinion Validator,To reflect on personal experiences and derive meaningful lessons,To seek validation for their worldview through shared understanding
166,0.0-1.0_pair17_conv2,started,42,1,0.0-1.0,16,14682,Tuco Salamanca,0,722,Peeta Mellark,1,Relationship Building,deepseek,Hard,154,"{'scenario_context': 'Agent 1 and Agent 2 meet at an intimate, dimly lit lounge known for fostering deep conversations and romantic connections. Both are drawn to each other’s presence—Agent 1 seeks emotional depth and shared vulnerability, while Agent 2 exudes a magnetic yet enigmatic energy, prioritizing physical chemistry and playful intrigue. The tension arises as Agent 1 attempts to steer interactions toward heartfelt disclosure, while Agent 2 dodges emotional transparency, using humor and subtle physical cues to maintain allure. Their shared goal of an erotic relationship hangs in the balance, complicated by their conflicting approaches to intimacy.', 'explanation': ""The scenario is designed to create psychological tension by juxtaposing Agent 1’s desire for emotional intimacy with Agent 2’s preference for physical attraction and mystery. The setting (an intimate lounge) facilitates both goals but heightens the difficulty due to the inherent clash in strategies—vulnerability vs. allure. This 'Hard' difficulty stems from the agents’ opposing methods to achieve the shared goal, requiring nuanced negotiation of social and emotional cues.""}","{'Abbreviation': 'Erotic relationship', 'Full label': '""Having an erotic relationship""'}","""Having an erotic relationship""",Emotional Connector,Mysterious Charmer,To establish emotional intimacy through vulnerability and shared experiences.,To explore physical attraction while maintaining a sense of mystery and allure.
167,0.0-1.0_pair17_conv3,started,42,1,0.0-1.0,16,14682,Tuco Salamanca,0,722,Peeta Mellark,1,Identity Recognition,deepseek,Hard,175,"{'scenario_context': ""At a high school reunion, [Agent 1] and [Agent 2] find themselves in a conversation near the photo booth, where attendees are taking pictures to commemorate the event. Both agents are aware of the unspoken pressure to appear youthful among their peers. [Agent 1], confident in their appearance, subtly positions themselves in well-lit areas and makes lighthearted comments about aging. [Agent 2], who has invested significant effort into their appearance for the event, lingers near [Agent 1], hoping for acknowledgment of their efforts. The shared goal of 'looking young' is complicated by [Agent 1]'s desire to subtly assert their superior youthful appearance and [Agent 2]'s need for validation, creating an undercurrent of tension."", 'explanation': ""The scenario leverages the high-stakes social context of a reunion, where identity recognition (appearing youthful) is paramount. The shared goal is inherently competitive, making alignment difficult. [Agent 1]'s self-assured role and goal to compare favorably clash with [Agent 2]'s validation-seeking behavior, heightening tension. The photo booth serves as a natural focal point for appearance-related interactions while maintaining realism.""}","{'Abbreviation': 'Looking young', 'Full label': '""Looking young""'}","""Looking young""",Self-assured peer,Validation seeker,To subtly reinforce their own youthful appearance by comparing favorably to others.,To seek validation for their efforts to maintain a youthful appearance.
168,0.0-1.0_pair17_conv4,started,42,1,0.0-1.0,16,14682,Tuco Salamanca,0,722,Peeta Mellark,1,Cooperation,deepseek,Easy,28,"{'scenario_context': ""[Agent 1] and [Agent 2] are teammates working on a challenging group project with a tight deadline. They meet in a quiet breakout room to strategize and divide tasks. [Agent 1], the Motivational Leader, wants to boost [Agent 2]'s confidence by reminding them of their past successes and skills. [Agent 2], the Supportive Collaborator, feels uncertain about their contributions but wants to offer ideas while seeking reassurance from [Agent 1]. Both share the goal of completing the project successfully despite its difficulty."", 'explanation': ""The scenario is designed to be easy and cooperative, with aligned goals and low tension. The context—a collaborative project—naturally facilitates both shared and individual goals. [Agent 1]'s motivational role and [Agent 2]'s need for validation create a psychologically grounded dynamic where attribution (e.g., crediting past successes) can be explored.""}","{'Abbreviation': 'Difficult things', 'Full label': '""Accomplishing difficult things""'}","""Accomplishing difficult things""",Motivational Leader,Supportive Collaborator,To encourage and motivate the other agent by highlighting their strengths and past successes.,To seek reassurance and validation from the other agent while contributing ideas.
169,0.0-1.0_pair18_conv1,started,43,1,0.0-1.0,17,14682,Tuco Salamanca,0,3236,Dale Cooper,1,Conflict Resolution,deepseek,Hard,188,"{'scenario_context': 'At a team retreat, [Agent 1] and [Agent 2] are paired for a trust-building exercise that requires sharing personal vulnerabilities. [Agent 1], the Assertive Defender, feels pressured to disclose more than they are comfortable with and wants to firmly set boundaries to avoid emotional discomfort. [Agent 2], the Reassurance Seeker, is anxious about the exercise and seeks validation from [Agent 1] to feel secure in the situation. Both share the goal of protecting their well-being, but their individual strategies—assertion versus validation-seeking—create tension.', 'explanation': ""This scenario is 'Hard' because the shared goal (well-being) is undermined by conflicting strategies: [Agent 1]'s need for boundaries clashes with [Agent 2]'s need for reassurance. The interpersonal tension arises from the mismatch between their coping mechanisms, making resolution challenging without one or both feeling compromised.""}","{'Abbreviation': 'Well-being', 'Full label': '""Protecting my well-being, avoiding pain""'}","""Protecting my well-being, avoiding pain""",Assertive Defender,Reassurance Seeker,Assert personal boundaries to prevent emotional discomfort,Seek validation to alleviate anxiety about the situation
170,0.0-1.0_pair18_conv2,started,43,1,0.0-1.0,17,14682,Tuco Salamanca,0,3236,Dale Cooper,1,Relationship Maintenance,gemini,Hard,240,"{'scenario_context': 'Late at night, [Agent 1] and [Agent 2] are sitting at opposite ends of their living room sofa, the room dimly lit and silent following a week of intense professional stress and limited communication. The relationship has felt precarious recently, with external pressures creating an emotional distance that threatens their shared commitment to being in love. Despite the tension, both wish to bridge the gap. [Agent 1], feeling deeply insecure about the current state of their affection, feels compelled to break the silence and urgently seek verbal confirmation that their emotional intimacy is intact. In contrast, [Agent 2], sensing the high stakes and wanting to prevent an argument, is determined to manage the atmosphere by remaining composed, avoiding emotional escalation, and focusing on stability and practical facts rather than abstract feelings.', 'explanation': 'This scenario is classified as Hard because of the significant tension and the divergence in coping styles under stress. While the shared goal is relationship maintenance, the immediate means to achieve it are in conflict: Agent 1 seeks emotional validation via vulnerability, while Agent 2 seeks stability via practical reassurance. This mismatch creates a high likelihood of attributional errors, where Agent 1 might view Agent 2 as cold, and Agent 2 might view Agent 1 as irrational, making the shared goal difficult to achieve.'}","{'Abbreviation': 'Being in love', 'Full label': '""Being in love""'}","""Being in love""",Seeking Partner,Anchoring Partner,actively solicit verbal validation of emotional intimacy through vulnerable questioning,maintain a tone of calm stability and practical reassurance
171,0.0-1.0_pair18_conv3,started,43,1,0.0-1.0,17,14682,Tuco Salamanca,0,3236,Dale Cooper,1,Identity Recognition,gemini,Hard,234,"{'scenario_context': ""[Agent 1] and [Agent 2] find themselves sharing a small, high-visibility table in the VIP lounge of a prestigious industry after-party, surrounded by influential peers they both intend to impress. The atmosphere requires them to demonstrate high social value to observers; however, they are locked in a subtle battle for dominance over the immediate interaction. [Agent 1] attempts to control the dynamic by maintaining a calculated, bored silence and projecting an air of exclusivity, hoping to make [Agent 2] work for their approval. Conversely, [Agent 2] seeks to hijack the social spotlight by aggressively filling the space with loud, energetic anecdotes and performative wit, intending to reduce [Agent 1] to a supporting role in their spectacle. The confined space forces a direct collision between [Agent 1]'s strategy of withdrawal and [Agent 2]'s strategy of intrusion."", 'explanation': ""The scenario is rated 'Hard' because the agents have conflicting methods for achieving the same goal of identity recognition. Their strategies are diametrically opposed—one relies on minimizing output to signal status (Aloof Trendsetter), while the other relies on maximizing output (Charismatic Storyteller). This creates a zero-sum social environment where one agent's success in deploying their strategy actively undermines the other's ability to save face, leading to high interpersonal tension.""}","{'Abbreviation': 'Being socially attractive', 'Full label': '""Being socially attractive, exciting, fascinating, impressing others""'}","""Being socially attractive, exciting, fascinating, impressing others""",Aloof Trendsetter,Charismatic Storyteller,To project an aura of effortless sophistication and exclusivity to elicit admiration or envy from the partner.,"To captivate the partner's attention by aggressively showcasing humor, wit, and high energy to prove social dominance."
